Details
Run;5;DateTime;20.01.2022 18:32:16;Factor Set;|Factor Set:
	Ratio R_1/SM1 R_1/SM1  >> (0.9 - 1.1 1)
	Concentration SM Con  >> (0.4 - 0.45 M)
	Residence time RT  >> (0.8 - 1.2 min)
	Temperature T  >> (40 - 50 °C)
	Intensity Intensity  >> (750 - 950 mA)
	Ratio R_2/SM1 R_2/SM1  >> (0.01 - 0.05 1)
	+ Combis:
		A*B
		A*D
		B*C
		B*D
		C*D
		C*F
		D*F
		B^2
		C^2
		D^2
		F^2|
Model Coeffs
-88.69217187050884;9.565406983039708;-18.028160743432238;84.71833613538128;1.8715566672620088;25.352243288558896;10.891101895526202;-0.28902345598660983;9.189609317966664;0.2262471624250454;-0.4393879864355033;-172.40337880723098;4.019643002900684;-3.798165648828011;-29.50331976402596;-0.01430299018837312;-1.275364087055971
Scaled Model Coeffs
4.0933348917436145;0.11880697692409628;0.22513079944207862;0.9345439627302408;0.3631022100198813;0.6751255553327195;0.02722775473881618;-0.1445117279933025;0.04594804658983015;0.028280895303129813;-0.43938798643549104;-0.6896135152289231;0.4019643002900699;-0.3851478861089359;-0.38514788610893647;-0.385147886108936;-0.38514788610893635
